sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
14,231,14,"Panchayat Union Office Kozhiporuvilai , ,Main Building, Council Hall Western  Portion","1.Mulagumoodu (R.V), Mulagumoodu (T.P) Ward 6,  Block 30,  Punkarai. 2.Mulagumoodu (R.V), Mulagumoodu (T.P) Ward 4,  Block 31,  Mallan Vilai,  3.Mulagumoodu (R.V), Mulagumoodu (T.P), Ward 6, Block 27,  Kozhipor Vilai, (Sl. No.1009  to 1330)99.OVERSEAS ELECTORS",All Voters
15,231,15,"Govt. M.S.Koottamavu ,Tiled
Building,, ,Tiled Building, Northern Building  Southern Portion","1. Valvatchagostom B (R.V) Mulagumoodu (T.P) Ward 17,
Block, 4 Arunangkal,       2.Valvatchagostom-B (R.V) Mulagumoodu (T.P) Ward  11, Block 14,  Kuzhikodu 99.OVERSEAS ELECTORS",All Voters
16,231,16,"Govt. M.S.Koottamavu, , North Tiled Building, Northern Portion","1.Valvatchagostom-B( R.V ) Mulagumoodu ( T P ) Ward 16, Block 3,  Murungaraivilai,Vathiyarvilai , 2.Valvatchagostom-B  ( R.V ) Mulagumoodu ( T.P ) Ward 12 , Block 20, Vayakkarai , 99.OVERSEAS ELECTORS",All Voters
17,231,17,"Govt. Middle School, Koottamavu ,,  ,Tiled Building, Southern  Portion","1. Valvatchagostom-B (R.V) Mulagumoodu (T.P) Ward 16,
Block 13, Kuttamavu  East, 2.Valvatchagostom-B (R.V) Mulagumoodu (T P) Ward 11, Block 14, Koottamoovu  West, 3.Valvatchagostom-B (R.V) Mulagumoodu (T.P) Ward 16, Block, 10 Mulagumoodu, Kallu vilai, Paduvankuzhi , 99.OVERSEAS ELECTORS",All Voters
18,231,18,"Govt. Middle School, Koottamavu, , Tiled Building, Northern Portion","1. Valvatchagostom B (R.V) Mulagumoodu (T P) Ward 18, Block 15,  Sadayankal , 2.Valvatchagostom B (R.V) Mulagumoodu (T P) Ward 18,  Block 15,  Kuzhicode  East,
99. OVERSEAS ELECTORS",All Voters
19,231,19,"Govt. Middle School,
Koottamavu, , South Tiled Building, facing East, Northern Portion","1. Valvatchagostom B (R.V) Mulagumoodu (T.P) Ward 11,
Block 17 , Kuzhicode   West,  2.Valvatchagostom B (R.V) Mulagumoodu (T P) Ward 15,  Block 18, Koottamoovu West.99.OVERSEAS ELECTORS",All Voters
20,231,20,"R.C.Middle School,  Vellicode, ,
, Main Terraced  Eastern Building, Northern  Portion","1. Valvatchagostom-B (R.V) Mulagumoodu (T P) Block 12
Puthuvilali, Melavilai,  Thiruvettivilai, Pottavilai, 99.OVERSEAS ELECTORS",All Voters
21,231,21,"R.C.Middle School, Vellicode , Main Terraced  Eastern Building, Southern Portion","1. Valvatchagostom B (R.V) Mulagumoodu (T.P) Block 2,. Anapattuvilai, Avarivilai, Mulaiyatharavilai 2.Valvatchagostom B (R.V) Mulagumoodu (T.P) Block 1, Rakkivilai, Saralvilai, Manathottam, Anappattu vilai
3.Valvatchagostom B (R.V) Mulagumoodu (T.P) Block 2 Anappattu vilai, Avaru vilai, Mulaiyatharavilai          99.OVERSEAS ELECTORS",All Voters
22,231,22,"Govt. Middle School, Pilavilai, , Eastern Terraced Building, Northern  Portion","1.Valvatchagostom -B( R.V ) Maruthoorkuritchi  ( P ) Block 3, Ward 1  , Kattathurai , 2.Valvatchagostom-B ( R.V ) MaruthoorKuritchi ( P ) Block 3,  Ward 1,  VelliCode , 3.Valvatchagostom-B ( R.V ) Maruthoorkuritchi  ( P ) Block 4,  Ward 1, Vanianvilai , 99.OVERSEAS ELECTORS",All Voters
23,231,23,"Govt. Middle School, Pilavilai , Terraced Building, Middle Portion","1.Valvatchagostom B (R.V.) Maruthoorkurichy  (P) Ward 3, Block 1,2, Thamara Vilai, 2.Valvatchagostom B (R.V.) Maruthoorkurichy  (P) Ward 3,  Block 1,  Kiravilai, 3.Valvatchagostom B (R.V.) Maruthoorkurichy  (P) Ward 3, Block 1, Thumbayan Thotam, 4.Valvatchagostom B (R.V.) Maruthoorkurichy  (P) Ward 3,  Block 2,  Nellika Vilai, 5.Valvatchagostom B (R.V.) Maruthoorkurichy  (P) Ward 1, Block 2,  Paruthi Vilai, 6.Valvatchagostom B (R.V.) Maruthoorkurichy  (P) Ward 1, Block 2,  Pulliyan Vilai, 7.Valvatchagostom B (R.V.) Maruthoorkurichy  (P) Ward 1, Block 2, 5, Thiruthivilai,   99.OVERSEAS ELECTORS,",All Voters
24,231,24,"Govt. Middle School, Pilavilai, Terraced Building Middle portion building No 2","1.Valvatchagostom B (R.V) Maruthoorkurichy  (P) Ward 1,
Block 5, Saralvilai, 2.Valvatchagostom B (R.V) Maruthoorkurichy  (P) Ward 1, Block 3, Thipili, 3.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 3, Block 5, Mannukurumbu, 4.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 3, Block 5, Saralvilai 5.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 3, Block 5, Poovanvilai, 6.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 1, Block 2, Kalvatankuzhli , 7.Valvachagostam B (R.V), Maruthoorkuritchi (P) Ward 3, Block 5, Arangu Vilai, 8.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 1, Block 2, Kalvatankuzhli, 9.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 1, Block 2, Kalvatankuzhli  10.Valvatchagostom B (R.V) Maruthoorkurichy  (P) Ward 3, Block 5,  Saralvilai, 11.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 3, Block 5, Poovanvilai, 12.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 3, Block 5, Arangu Vilai, 99.OVERSEAS ELECTORS",All Voters
25,231,25,"Govt. M.S.Pilavilai ,  ,Terraced Building, Western  Portion","1. Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 3,
Block 1, Pilavilai, 2.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 3,  Block 1, Vagavilai, 3.Valatchagostom B (R.V) Maruthoorkurichy (P) Ward 1, Block 2, Sathi Vilai, 4.Valvatchagostom B (R.V) Maruthoorkuritchi (P) Ward 3, Block 5, Nedumbocku Vilai , 5.Valvatchagostom B (R.V) Maruthoorkurichy (P) Ward 3, Block 1, Vagavilai, 99.OVERSEAS ELECTORS",All Voters
26,231,26,"Anganwady Centre, Thittimelkonam, , Main
Building, Northern  Portion","1.Valvatchagostom-A ( R.V ), Valvatchagostom ( T.P.) Ward 4 , Block 5,  Kaviyalore , Saral , 99.OVERSEAS ELECTORS",All Voters
27,231,27,"Anganwady Centre,
Thittimelkonam, ,  Terraced Building Western portion","1.Valvatchagostom-A ( R.V ) , Valvatchagostom ( T.P.) Ward 18, Block 4,  Manjadi , 99.OVERSEAS ELECTORS",All Voters
28,231,28,"Anganwady Centre, Thittimelkonam, , Main
Building, Southern  Portion","1.Valvatchagostom -A( R.V ) , Valvatchagostom (  T.P.) Ward 17, Block 10,  Varukkavilai , 99.OVERSEAS
ELECTORS",All Voters
29,231,29,"Anganwady Centre,
Thittimelkonam ,, Terraced Building,Eastern   Portion","1. Valvatchagostom A (R.V), Valvatchagostom (T.P.) Ward 6, 7, 17, Block  9, Neervilagam.99.OVERSEAS ELECTORS",All Voters
30,231,30,"Anganwady Centre, Thittimelkonam,,  , Main (Asbetas sheet) Building, Middle Portion","1. Valvatchagostom A (R.V), Valvatchagostom (T.P.) Ward
6, 7, 17,  Block13, Thitumelkonam, Palayakadai, 2.Valvatchagostom A (R.V), Valvatchagostom (T.P.) Ward 6,7,17, Block 14,  Pilavilai, Maruthoorkurichi, 3.Valvatchagostom-A (R.V), Valvatchagostom (T.P.) Ward 6, 7, 17, Block 16, Cheittarn Vilai , 99.OVERSEAS ELECTORS",All Voters
31,231,31,"R.C.Primary School, Palliyadi, , Main Building, Eastern  Portion","1.Maruthoorkurichy ( R.V ) Valvatchakostam ( T P ) Block 11,  Palliyadi,  Vagavilai,  Thundathuvilai , 2Maruthoorkurichy. ( R.V ) Valvatchakostam ( T P ) Block 17 , Palliyadi,  Kuzhivilai, Yerianvilai , 3Maruthoorkurichy.( R.V ) Valvatchakostam ( T P ) Block 18 ,  Palliyadi, Weavers  Street , 4Maruthoorkurichy. ( R.V ) Valvatchakostam ( T P ) Block 19,  Palliyadi, Perunjsanthivilai , 99.OVERSEAS ELECTORS",All Voters
32,231,32,"R.C.Primary School, Palliyadi, , Main Building, Western  Portion","1.Maruthoorkurichy ( R.V ) Valvatchakostam ( T P ) Block 18,  Palliyadi , 2Maruthoorkurichy (R.V) Valvatchagostom  (T P) Block 19,  Palliyadi Konam , 3Maruthoorkurichy. ( R.V
) Valvatchakostam ( T P ) Block 17,  Thittumelkonam East , 4Maruthoorkurichy. ( R.V ) Valvatchakostam ( T P ) Block 12 ,Thittumelkonam West , 5.Maruthoorkurichy ( R.V ) Valvatchakostam ( T. P ) Block 11,  Kokavilai , 6Maruthoorkurichy. ( R.V ) Valvatchakostam ( T. P ) Block 20,  Palliyadi  Boonthoppu , 99.OVERSEAS ELECTORS",All Voters
33,231,33,"L.M.S.Higher Secondary school, Chiristukoil, Palliyadi, ,
Terraced Building, Science Block","1Maruthoorkurichy. ( r.v ) , valvatchagostom ( t.p.) Block 28
, Vellachivilai , 2Maruthoorkurichy. ( R.V ) , Valvatchagostom ( T.P ) Keezhkonam ,  99.OVERSEAS ELECTORS",All Voters
34,231,34,"St Johns Matric Higher Secondary school, Palliyadi ,,
,North South Terraced building facing East  Middle Portion","1. Maruthoorkurichy (R.V), Valvatchagostom (T.P.) Ward 11, block 25, murunkavilai 99.OVERSEAS ELECTORS",All Voters
35,231,35,"St Johns Matric Higher Secondary school, Palliyadi., i.North-South Terraced building facing South,  Middle Portion","1. Maruthoorkurichy (R.V), Valvatchagostom (T.P.) Block 21, Palliyadi, 99.OVERSEAS ELECTORS",All Voters
36,231,36,"St Johns Matric Higher Secondary school, Palliyadi, , North South Terraced building facing West, Middle Portion,","1.Maruthoorkurichy ( R.V ), Valvatchagostom ( T.P.) Ward 8, Block 27, Alathurai , 2Maruthoorkurichy ( R.V ) , Valvatchagostom ( T.P.) Ward 8 ,  Block 27,  Karikki , 99.OVERSEAS ELECTORS",All Voters
37,231,37,"Sub-Registers Office, Palliyadi, , New Terraced, Building Central Portion","1.Maruthoorkurichy ( R.V ) , Valvatchagostom ( T.P.) Block
15, Alathurai Vadakku , 2Maruthoorkurichy. ( R.V ) , Valvatchagostom ( T.P.) Block 22 , Perumpilanthottam East , 3.Maruthoorkurichy ( R.V ) ,  ( T.P.) Block 23 , Perumpilanthottam West , 4.Maruthoorkurichy ( R.V ) , Valvatchagostom ( T.P.) Block  24,  Palliyadi Junction , 5.Maruthoorkurichy ( R.V ) , Valvatchagostom ( T.P.) Block 26 , Checkittavilai West , 6Maruthoorkurichy. ( R.V ), Valvachagostam ( T.P ) Block 21, Alathurai South, Block 17,
, 99.OVERSEAS ELECTORS",All Voters
38,231,38,"Govt. Primary School, Palliyadi at Cherikkadai, , Terraced Building, Eastern  Portion","1.Maruthoorkurichy ( R.V ), Maruthoorkurichy ( P ) Ward 3, BLOCK 5,   Pullanivilai , 2.Maruthoorkurichy ( R.V ) Maruthoorkurichy ( P ) Ward 2, BLOCK 6,  Kadaivilai , 3.Maruthoorkurichy ( R.V ) Maruthoorkurichy  ( P ) Ward 2, Blcok  6, Thittaicolony , 4.Maruthoorkurichy ( R.V ) Maruthoorkurichy  ( P ) Ward 2, Block  6,  Maruthoorkurichi Colony , 5.Maruthoorkurichy ( R.V) Maruthoorkurichy ( P ) Ward 2,  Block  6,  Cherikadai , 6.Maruthoorkurichy ( R.V ) MaruthoorKurichy ( P ) Ward 2,   Block 6, Madathuvilai , 7.Maruthoorkurichy (,r.v,) maruthoorkurichy ( p ,) Ward 2, block 6,  thattanvilai , 8.Maruthoorkurichy ( R.V ) Maruthoorkurichy ( P ) Ward 2,  Block 6,  Muriyanvillai , 99.OVERSEAS ELECTORS",All Voters
39,231,39,"Govt. Primary School, Palliyadi at Cherikkadai, , , Terraced Building Western Portion","1. Maruthoorkurichy( R.V ) Maruthoorkurichy  ( P ) Ward 2,
Block 7,  Kaisalavilai , 2.Maruthoorkurichy ( R.V ) Maruthoorkurichy  ( P ) Ward 2,  Block 7,  Melanvilai , 3.Maruthoorkurichy ( R.V ) Maruthoorkurichy  ( P ) Ward 2, Block 7,  Kannaan Vilai , 4.Maruthoorkurichy ( R.V ) Maruthoorkurichy  ( P ) Ward  2,   Block 7, Valiyakuzhithottam , 5. Maruthoorkurichy( R.V ) Maruthoorkurichy  ( P ) Ward 2, Block 7. Somanvilai , 99.OVERSEAS ELECTORS",All Voters
40,231,40,"Govt. High School, Vathiyarkonam-Parakkadai,, easteren west terracced building,
Eastern Building","1.Kappiyarai B( R.V ) Mulagumoodu ( T P ) Block 11, Vayakkarai , 99.OVERSEAS ELECTORS",All Voters
41,231,41,"Govt. High School, Vathiyarkonam-Parakkadai,, Easteren west terracced building, western Portion","1.Kappiyarai B( R.V ), Mulagumoodu ( T.P ) Block 21, Vandavilai, Perambi , 2.ValvatchagostomB  ( R.V ) Mulagumoodu ( T P) Block 19,  Perambi,  Ethichavayalkarai
, 3.ValvatchagostomB  ( R.V ) Mulagumoodu ( T P ) Block 22,  Vandavilai , 99.OVERSEAS ELECTORS",All Voters
42,231,42,"St. Catharin Primary School,
Koovaravilai at Kappiyarai, , Main Building, South  Portion","1.Kappiyarai B( R.V ) , Kappiyarai (T.P ) Block 13 ,
Coovara Vilai , 2.Kappiyarai B ( R.V ) , Kappiyari ( T.P ) Block 15, Ponnara Vilai. 99.OVERSEAS ELECTORS ,",All Voters
43,231,43,"Anganvadi Centre, Olavilai,
Main Building","1.Kappiyarai A (R.V), Kappiyari (T.P) Block 7,
Kanchikuzhi, 99.OVERSEAS ELECTORS",All Voters
44,231,44,"Govt. Middle School, Kanjikuzhi
,, Terraced  Building, Eastern Portion","1.Kappiyarai A (R.V), Kappiyarai (T.P) Block 1,
Kanchikuzhli , 2.Kappiyarai A (R.V), Kappiyari (T.P) Block 2,  Kanchikuzhi (East),  Kollekudy Vilai, 99.OVERSEAS ELECTORS",All Voters
45,231,45,"Govt. Middle School, Kanjikuzhi ,  Terraced  Building, Eastern Middle   Portion","1. Kappiyarai A (R,.V), Kappiyarai (T.P) Block 3, North Vayakarai. ,  2.Kappiyari A (R.V), Kappiyarai (T.P) Block 4, Olavilai, 99.OVERSEAS ELECTORS",All Voters
46,231,46,"Hindu Vidyalaya Matric Higher
Secondary School, Thanikottavilai, ,  North West building Southern Portion","1.Kappiyarai A( R.V ) , Kappiyarai ( T.P ) Block 5, Kollan Vilai. , 99.OVERSEAS ELECTORS",All Voters
47,231,47,"Anganvadi Centre,
Chinthanvilai, Main Building Southern portion","1.Kappiyarai A ( r.v ) , kappiyarai ( t.p ) Block 6 , cithan vilai
,  pilavetti  vilai , 99.OVERSEAS ELECTORS",All Voters
48,231,48,"Govt. Primary School, Chellamkonam, , Main Building,
Middle Portion","1.Kappiyarai A( R.V ) , Kappiyarai ( T.P ) Block 20 , Mancode. , 2.Kappiyarai A ( R.V ) ,  Kappiyarai  ( T.P )
Block 10, Vatta Vilai. , 99.OVERSEAS ELECTORS",All Voters
49,231,49,"M.S.C.Primary School,
Chellamkonam, , East Building, Southern  Portion","1.Kappiyarai A ( R.V ) ,  Kappiyarai ( T.P ), Block 21, Chellan Konam , 99.OVERSEAS ELECTORS",All Voters
50,231,50,"M. S.C.Primary School,
Chellamkonam, , East Middle Building, Northern Portion","1.Kappiyarai A ( R.V ) , Kappiyarai ( T.P ) Block  8 ,  Ola Vilai. , 99.OVERSEAS ELECTORS",All Voters
51,231,51,"St. Joseph Higher Secondary School, Chellamkonam, , Middle Building, Western
Portion","1.Kappiyarai A( R.V ) , Kappiyarai ( T.P ) Block 22 , Karukupanai. ,99.OVERSEAS ELECTORS",All Voters
52,231,52,"St. Joseph Higher Secondary School, Chellamkonam, , Central Old Tiled Building No.2","2.Kappiyarai A ( R.V ) , kappiyarai ( T.P ) Block  9 , chellankonam. , 99.OVERSEAS ELECTORS",All Voters
53,231,53,"St. Joseph Higher Secondary School, Chellamkonam,,  Middle Building, Eastern Portion","1.Kappiyarai A( R.V ) , Kappiyarai ( T.P ) Block 23 , New Kaduvetti. , 99.OVERSEAS ELECTORS",All Voters
54,231,54,"Govt. Middle School,
Pathiramangalam , North Terraced  Building, Western portion, Facing South","1. Kappiyarai B (R.V),  Kappiyarai (T.P.), Block 11, Vattavilai ,  Ponnaravilai. ,99.OVERSEAS ELECTORS",All Voters
55,231,55,"Govt. Middle School,
Pathiramangalam , South Teraced  Building, North portion,  Facing East","1. Kappiyarai B (R.V), Kappiyarai (T.P) Block 12, Pathiramangalam 99.OVERSEAS ELECTORS",All Voters
56,231,56,"Govt. Middle School,
Pathiramangalam, , Main Building, Central Portion","1.Kappiyarai B ( R.V ) , Kappiyarai ( T.P ) Block 16, Pananguli. ,99.OVERSEAS ELECTORS",All Voters
57,231,57,"Govt. Middle School,
Pathiramangalam, Main Building, Central Portion","1.Kappiyarai B( R.V ) , Kappiyarai ( T.P ) Block 18 ,
Vattavilai. , 2.Kappiyarai B ( R.V ) , Kappiyarai ( T.P ), Block 14 ,  Pathiramangalam. , 99.OVERSEAS ELECTORS",All Voters
58,231,58,"Govt. Higher Secondary School, Anakuzhy ,  East Building, Middle Portion","1. Simoncolony (R.V). Reethapuram (T.P) Block 9, Neeruvakuzhi, 2.Simoncolony (R.V), Reethapuram (T.P) Block 9,  Madanvilai,  3.Simoncolony (R.V),  Reethapuram (T.P) Block 9,  Pedakhai , 99.OVERSEAS ELECTORS",All Voters
59,231,59,"Govt. Higher Secondary School,
Anakuzhy , North - West Building, Facing East, South Portion","1. Simoncolony (R.V), Reethapuram (T.P) Block 9,
Mathanagar, 2.Simoncolony (R.V), Reethapuram (T.P) Block 9,  Adapoor  3.Simoncolony (R.V),  Reethapuram (T.P) Block 9, Ezhuvilaipattu, 99.OVERSEAS ELECTORS",All Voters
60,231,60,"Govt. Higher Secondary School, Anakuzhy, , Terraced  Building, Southern Portion","1. simon colony ( R.V ), Reethapuram ( T.P ) Block 10,
Panner Muttam , 2.simon colony ( R.V.) Reethapuram ( T.P ) Block10, Kudierupuvilai , 3simon colony ( R.V ), Reethapuram ( T.P ) Block 10,  Kandukondan manickathuvilai , 4.simon colony  ( R.V ), Reethapuram ( T.P
) Block 10,  Kuppiyantharai , 5.simon colony ( R.V ) Reethapuram ( T.P ) Block 10, Kunnan Vilai , 6.simon colony ( R.V ), Reethapuram ( T.P ) Block 10, Pallapallam
Nesavalartheru , 99.OVERSEAS ELECTORS",All Voters
61,231,61,"Providence  Higher Secondary School .Reethapuram , South Building, Eastern  Portion","1. Reethapuram (R.V), Reethapuram (T.P) Ward 5, Block 8, Ottapanavilai, 2.Reethapuram (R.V), Reethapuram (T.P) Ward 5, Block 8, Kadamparavilai, 3.Reethapuram (R.V) Reethapuram (T.P) Ward 5, Block 8, Sentharainorth, 4.Reethapuram (R.V), Reethapuram (T.P) Block 6, Ward 3, Erumbeli Pottal , 99.OVERSEAS ELECTORS",All Voters
62,231,62,"Providence Higher Secondary
School, Reethapuram,, , Sout Building, Eastern Portion","1. Reethapuram( R.V ), Reethapuram ( T.P ) Block 7,
Othapanavilai , 2.Reethapuram ( R.V ), Reethapuram ( T.P ) Block 8,  Reethapuram , 99.OVERSEAS ELECTORS",All Voters
63,231,63,63,"Providence  Higher Secondary School .Reethapuram ,, ,Main Building, Western Portion","1. Reethapuram (R.V), Reethapuram (T.P) Block 13, Ward
14, Othapanavilai, 2.Reethapuram (R.V), Reethapuram (T.P) Block 13, Ward 14, Patharai, 3.Reethapuram (R.V), Reethapuram (T.P) Block 13, Ward14, Thattravilai, 4 Reethapuram (R.V), Reethapuram (T.P) Blcok 13, Ward 14, Eethempadu, 5.Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Velliyakulamkarai, 6.Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Kootamaavu, 99.OVERSEAS ELECTORS"
64,231,64,"Providence  Higher Secondary School .Reethapuram ,, Main Building, Western Middle Portion","1. Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block
14, Valuthalampallam, 2.Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Kibiyon Nager, 3.Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Sarnangkadu, 4.Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Nellivilai, 5. Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Parayenkottai, 6.Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Kallarai , 7.Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Patharai Colony, 8.Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Sentharai , 9.Reethapuram (R.V), Reethapuram (T.P) Ward 15, Block 14, Plangkarai, 99.OVERSEAS ELECTORS",All Voters
65,231,65,"Providence  Higher Secondary School, Reethapuram,,  South Second Terraced Building East Portion","1.Reethapuram ( R.V ), Reethapuram ( T.P ) Ward 1, Block1,
Simon Colony , 2.Reethapuram ( R.V ), Reethapuram ( T.P ) Ward 1, Block 1, Parakkadai , 3.Reethapuram ( R.V ), Reethapuram ( T.P ) Ward 1, Block1, Panavilai , 99.OVERSEAS ELECTORS",All Voters
66,231,66,"Providence  Higher Secondary School .Reethapuram ,, ,Faceing South Second Terraced Building West Portion","1. Reethapuram (R.V), Reethapuram (T.P) Block 6, Ward 3, Mel Reethapuram, 2.Reethapuram (R.V.), Reethapuram (T.P) Block 6, Ward 3,  Reethapuram, 3.Reethapuram (R.V), Reethapuram (T.P) Block 6, Ward 3, Erumbelikarai, 4.Reethapuram (R.V), Reethapuram (T.P) Block 2, Ward 2, Kovilvilai, 5.Reethapuram (R.V), Reethapuram (T.P) Block 2, Ward 2, Ravilai , 99.OVERSEAS ELECTORS",All Voters
67,231,67,"Providence  Higher Secondary School .Reethapuram , Faceing North Terraced Building Central Portion","1. Reethapuram (R.V), Reethapuram (T.P) Block 2, Ward 2,
Pandravilai, 2.Reethapuram (R.V), Reethapuram (T.P) Block 2, Ward 2, Ganesapuram , 3.Reethapuram (R.V), Reethapuram ( T.P ) Block 2,  Ward 2, Erumbeli, 99.OVERSEAS ELECTORS",All Voters
68,231,68,"Govt. Middle School, Saravilai,,
East  Terraced  Building, Eastern Portion","1.Simon colony( R.V ), Reethapuram ( T.P ) Block 3, Panavilai  Reethapuram , 99.OVERSEAS ELECTORS",All Voters
69,231,69,"Govt. Middle School,  Saravilai,
,  South Aspectas Building Southern Portion","1.simon colony ( R.V ), Reetapuram ( T.P ) Block 4 ,
Samathana Puram, Ayan Vilai, Saravilai, Kandervilagam , 99.OVERSEAS ELECTORS",All Voters
